Name,Ticker,Sector,MarketCap,PreviousClose,52WeekHigh,52WeekLow
3M Company,MMM,Industrials,87447617536.0,160.59,172.85,121.98
A.O. Smith Corporation,AOS,Industrials,9199442944.0,65.15,77.92,58.83
Abbott Laboratories,ABT,Healthcare,217219874816.0,125.8,141.23,110.86
AbbVie Inc.,ABBV,Healthcare,383714131968.0,215.89,244.81,163.81
Accenture plc,ACN,Technology,153831653376.0,242.9,398.35,229.4
Adobe Inc.,ADBE,Technology,140637044736.0,335.35,557.9,327.5
"Advanced Micro Devices, Inc.",AMD,Technology,418286305280.0,250.05,267.08,76.48
The AES Corporation,AES,Utilities,10136025088.0,13.44,15.51,9.46
AFLAC Incorporated,AFL,Financial Services,59660455936.0,108.81,115.43,96.95
"Agilent Technologies, Inc.",A,Healthcare,41694408704.0,146.08,153.84,96.43
"Air Products and Chemicals, Inc",APD,Basic Materials,52515979264.0,240.77,341.14,235.86
"Airbnb, Inc.",ABNB,Consumer Cyclical,75384569856.0,122.35,163.93,99.88
"Akamai Technologies, Inc.",AKAM,Technology,10496896000.0,71.97,105.26,67.51
Albemarle Corporation,ALB,Basic Materials,10838597632.0,88.45,113.91,49.43
Alexandria Real Estate Equities,ARE,Real Estate,9441432576.0,53.99,116.52,53.08
"Align Technology, Inc.",ALGN,Healthcare,9942230016.0,135.67,246.19,122.0
Allegion plc,ALLE,Industrials,14283454464.0,165.55,180.68,116.57
Alliant Energy Corporation,LNT,Utilities,17217449984.0,66.59,69.75,56.08
Allstate Corporation (The),ALL,Financial Services,51528466432.0,195.26,215.7,176.0
Alphabet Inc.,GOOGL,Communication Services,3434977689600.0,277.54,291.59,140.53
Alphabet Inc.,GOOG,Communication Services,3434641096704.0,278.06,291.93,142.66
"Altria Group, Inc.",MO,Consumer Defensive,96036798464.0,57.31,68.6,50.08
"Amazon.com, Inc.",AMZN,Consumer Cyclical,2659939516416.0,249.32,258.6,161.38
Amcor plc,AMCR,Consumer Cyclical,18616922112.0,7.87,10.71,7.67
Ameren Corporation,AEE,Utilities,27420917760.0,101.91,106.73,85.7
American Electric Power Company,AEP,Utilities,64108761088.0,120.3,122.85,89.91
American Express Company,AXP,Financial Services,253163323392.0,360.49,367.8151,220.43
"American International Group, I",AIG,Financial Services,42658295808.0,80.71,88.07,69.24
American Tower Corporation (REI,AMT,Real Estate,83888693248.0,180.35,234.33,172.51
"American Water Works Company, I",AWK,Utilities,25659725824.0,128.08,155.5,118.74
"Ameriprise Financial, Inc.",AMP,Financial Services,42912219136.0,452.0,582.05,396.14
"AMETEK, Inc.",AME,Industrials,45792153600.0,198.06,204.15,145.02
Amgen Inc.,AMGN,Healthcare,173500563456.0,296.7,335.88,253.3
Amphenol Corporation,APH,Technology,170523181056.0,136.7,142.5,56.45
"Analog Devices, Inc.",ADI,Technology,117006680064.0,229.38,258.13,158.65
Aon plc,AON,Financial Services,73785131008.0,344.21,412.97,323.73
APA Corporation,APA,Energy,7880246784.0,22.09,25.83,13.58
"Apollo Global Management, Inc. ",APO,Financial Services,78058676224.0,130.51,189.49,102.58
Apple Inc.,AAPL,Technology,3975299727360.0,270.04,277.32,169.21
"Applied Materials, Inc.",AMAT,Technology,192225837056.0,230.19,242.5,123.74
Applovin Corporation,APP,Communication Services,210389762048.0,608.68,745.61,166.97
Aptiv PLC,APTV,Consumer Cyclical,17975646208.0,80.85,88.8,47.19
Arch Capital Group Ltd.,ACGL,Financial Services,32274651136.0,87.47,103.17,82.45
Archer-Daniels-Midland Company,ADM,Consumer Defensive,27271163904.0,60.12,65.0,40.98
"Arista Networks, Inc.",ANET,Technology,177576230912.0,153.55,164.94,59.43
Arthur J. Gallagher & Co.,AJG,Financial Services,64455487488.0,251.7,351.23,239.47
"Assurant, Inc.",AIZ,Financial Services,11030131712.0,214.6,230.55,174.97
AT&T Inc.,T,Communication Services,173726957568.0,24.44,29.79,21.38
Atmos Energy Corporation,ATO,Utilities,27646973952.0,173.95,179.7,136.05
"Autodesk, Inc.",ADSK,Technology,64149213184.0,300.86,329.09,232.67
"Automatic Data Processing, Inc.",ADP,Technology,104687509504.0,259.22,329.93,255.16
"AutoZone, Inc.",AZO,Consumer Cyclical,61122211840.0,3675.9,4388.11,3036.4
"AvalonBay Communities, Inc.",AVB,Real Estate,25431695360.0,176.06,239.29,166.73
Avery Dennison Corporation,AVY,Consumer Cyclical,13493842944.0,174.39,209.83,156.23
"Axon Enterprise, Inc.",AXON,Industrials,49454264320.0,706.13,885.92,450.72
Baker Hughes Company,BKR,Energy,46649737216.0,45.97,50.93,33.6
Ball Corporation,BALL,Consumer Cyclical,13287669760.0,47.83,63.35,43.51
Bank of America Corporation,BAC,Financial Services,383271501824.0,53.54,54.0,33.07
Baxter International Inc.,BAX,Healthcare,9252883456.0,17.94,37.74,17.465
"Becton, Dickinson and Company",BDX,Healthcare,50705829888.0,179.04,251.99,163.33
,BRK.B,,,,,
"Best Buy Co., Inc.",BBY,Consumer Cyclical,17125354496.0,79.37,95.49,54.99
Bio-Techne Corp,TECH,Healthcare,9246632960.0,61.1,80.8,46.01
Biogen Inc.,BIIB,Healthcare,22452783104.0,149.33,179.2,110.04
"BlackRock, Inc.",BLK,Financial Services,166738706432.0,1059.91,1219.94,773.74
Blackstone Inc.,BX,Financial Services,177588125696.0,142.85,200.96,115.66
"Block, Inc.",XYZ,Technology,45115314176.0,72.58,99.26,44.27
The Bank of New York Mellon Cor,BK,Financial Services,75941322752.0,108.0,110.87,70.46
Boeing Company (The),BA,Industrials,149928837120.0,198.05,242.69,128.88
Booking Holdings Inc. Common St,BKNG,Consumer Cyclical,158911758336.0,4991.76,5839.41,4096.23
Boston Scientific Corporation,BSX,Healthcare,146414125056.0,98.84,109.5,85.03
Bristol-Myers Squibb Company,BMY,Healthcare,94873419776.0,45.59,63.33,42.52
Broadcom Inc.,AVGO,Technology,1708409880576.0,351.94,386.48,138.1
"Broadridge Financial Solutions,",BR,Technology,25488703488.0,222.86,271.91,212.33
"Brown & Brown, Inc.",BRO,Financial Services,26730688512.0,78.825,125.68,76.96
,BF.B,,,,,
"Builders FirstSource, Inc.",BLDR,Industrials,12273338368.0,109.79,194.36,102.6
Bunge Limited,BG,Consumer Defensive,19343996928.0,93.9,99.55,67.4
"BXP, Inc.",BXP,Real Estate,12294870016.0,69.73,84.75,54.22
"C.H. Robinson Worldwide, Inc.",CHRW,Industrials,18074988544.0,152.91,158.7,84.68
"Cadence Design Systems, Inc.",CDNS,Technology,89537798144.0,333.22,376.45,221.56
Camden Property Trust,CPT,Real Estate,10905389056.0,101.4,127.65,97.17
The Campbell's Company,CPB,Consumer Defensive,8984677376.0,29.79,47.25,29.39
Capital One Financial Corporati,COF,Financial Services,141809926144.0,220.68,232.45,143.22
"Cardinal Health, Inc.",CAH,Healthcare,46896508928.0,195.34,200.14,113.65
Carnival Corporation,CCL,Consumer Cyclical,35461578752.0,26.11,32.8,15.07
Carrier Global Corporation,CARR,Industrials,48153346048.0,57.55,81.09,54.22
"Caterpillar, Inc.",CAT,Industrials,268260392960.0,547.58,596.21,267.3
"Cboe Global Markets, Inc.",CBOE,Financial Services,26213449728.0,250.26,255.27,187.3
CBRE Group Inc,CBRE,Real Estate,44707393536.0,151.44,171.0,108.45
CDW Corporation,CDW,Technology,19147974656.0,141.66,222.92,137.31
